Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.001    0.000  170.206    5.158 base_events.py:1908(_run_once)
       33    1.107    0.034  170.201    5.158 selectors.py:319(select)
       33    0.000    0.000  150.642    4.565 selectors.py:313(_select)
       33   18.736    0.568  150.641    4.565 {built-in method select.select}
    47284   70.443    0.001   70.443    0.001 {built-in method numpy.array}
    23626   34.929    0.001   34.929    0.001 {method 'extend' of 'list' objects}
      354    0.474    0.001   32.970    0.093 fromnumeric.py:3385(mean)
      354    0.010    0.000   32.496    0.092 _methods.py:101(_mean)
      387   31.922    0.082   31.922    0.082 {built-in method numpy.asanyarray}
        1    0.000    0.000    3.620    3.620 {built-in method builtins.exec}
        1    0.000    0.000    3.620    3.620 <string>:1(<module>)
        1    0.151    0.151    3.620    3.620 2904758865.py:5(profile_code)
        1    0.356    0.356    3.277    3.277 1999850355.py:10(read_and_process_data)
  7765029    2.387    0.000    2.387    0.000 {method 'append' of 'list' objects}
  3882215    1.994    0.000    1.994    0.000 {method 'split' of 'str' objects}
       59    1.155    0.020    1.951    0.033 {method 'readlines' of '_io._IOBase' objects}
  3882259    1.471    0.000    1.471    0.000 {method 'strip' of 'str' objects}
      392    1.039    0.003    1.039    0.003 {method 'reduce' of 'numpy.ufunc' objects}
    27644    0.019    0.000    0.797    0.000 cp1252.py:22(decode)
    27644    0.777    0.000    0.777    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.121    0.121 pyplot.py:777(figure)
        1    0.000    0.000    0.121    0.121 pyplot.py:462(new_figure_manager)
        1    0.000    0.000    0.121    0.121 backend_bases.py:3404(new_figure_manager)
        1    0.000    0.000    0.118    0.118 backend_bases.py:3413(new_figure_manager_given_figure)
        1    0.000    0.000    0.118    0.118 backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.118    0.118 backend_bases.py:2682(create_with_canvas)
        1    0.009    0.009    0.118    0.118 backend_qt.py:520(__init__)
        2    0.094    0.047    0.096    0.048 {built-in method show}
        1    0.000    0.000    0.062    0.062 pyplot.py:3680(scatter)
        8    0.000    0.000    0.056    0.007 pyplot.py:2538(gca)
        8    0.000    0.000    0.056    0.007 figure.py:1647(gca)
        1    0.000    0.000    0.056    0.056 figure.py:658(add_subplot)
        1    0.000    0.000    0.056    0.056 _base.py:569(__init__)
        1    0.000    0.000    0.044    0.044 _base.py:1381(clear)
        1    0.000    0.000    0.044    0.044 _base.py:1254(__clear)
